gid,sac,sa,type,geom
1,613023,BRCKAKXA,HCPM-GNIS,0101000000FD5BB862353A62C03140A20994905040
2,613028,CHHSAKXA,HCPM-GNIS,010100000082A3891CC74162C0A8B7504365435040
3,613001,PNHPAKXA,HCPM-GNIS,0101000000A59421D882D764C07261EEA44F165140
4,613023,RMPRAKXA,HCPM-GNIS,01010000003D0AD7A370C562C0B81E85EB51605040
5,613025,TANNAKXA,HCPM-GNIS,01010000008FB00342860263C0BEAE1523014B5040
6,613017,TLINAKXB,HCPM-GNIS,010100000054A1269FC3D061C08DA4935B49914F40
7,613017,EDBYAKXA,HCPM-GNIS,0101000000ED759CEC30B560C0CA84043175F94B40
8,613016,UNLKAKXA,HCPM-GNIS,010100000000000000000864C087EA9C5555F54F40
9,613017,HYLKAKXA,HCPM-GNIS,0101000000B2852007651662C04DCD2F945DFE4F40
10,250304,SILSALXA,HCPM-GNIS,01010000007670B037311556C02DC4341D4BC73F40
11,250304,CHTMALXA,HCPM-GNIS,0101000000F8718F00491056C0E9BBB61215773F40
12,250295,CTWDALXA,HCPM-GNIS,0101000000FE1E0604845355C090C3BBB77D0C3F40
13,401718,MRRWARXA,HCPM-GNIS,0101000000D122DBF9FE9B57C0BDEFCE90E0ED4140
14,452179,BLWRAZXA,HCPM-GNIS,010100000010B1C1C249E55BC00DCE9662FD834040
15,452179,CSBLAZXA,HCPM-GNIS,01010000000E21F829D8F85BC0E39BB7FB668F4040
16,452171,HYDRAZXC,HCPM-GNIS,01010000007C7665BC52565CC0580394861A824040
17,452179,MRVGAZXC,HCPM-GNIS,0101000000CD3340B3350F5CC07193AC1E8BAF4040
18,452179,SCTNAZXC,HCPM-GNIS,01010000002ADD02AE50EF5BC09AEED00BD2894040
19,452179,KMTKAZXA,HCPM-GNIS,01010000000700D8CA150B5CC0F7DDBE5829A54040
20,452179,STTNAZXA,HCPM-GNIS,01010000008687D5C427F35BC0DB9ABEE83C944040
21,542332,ONLSCAXF,HCPM-GNIS,0101000000F7EAE3A16FEC5DC0469737876B904240
22,542346,PNCLCAXF,HCPM-GNIS,0101000000E09CB6EB4A495EC0672AC423F1434240
23,542332,ABRYCAXF,HCPM-GNIS,0101000000F7A68EFA10DF5DC03F4C0C13578A4240
24,542346,IDRACAXF,HCPM-GNIS,010100000003BD265A282B5EC0FA168C005D354240
25,542338,RYMNCAXF,HCPM-GNIS,0101000000256310B3F2F95DC02C1DBD2BCC9B4240
26,542332,SVLKCAXF,HCPM-GNIS,01010000006AD729FB53D45DC02387889B538D4240
27,542332,BGCKCAXF,HCPM-GNIS,01010000001C70A7BEBDCF5DC0C4BA4CA83B9A4240
28,462209,BGDLCOXC,HCPM-GNIS,0101000000D5AD43DAEB145AC0C8CD70033E514440
29,462209,HOYTCOXC,HCPM-GNIS,0101000000D3D457FCCB045AC0A8644A35FD014440
30,462199,ECKLCOXC,HCPM-GNIS,0101000000DC909092689F59C049E13087930E4440
31,462193,GTWYCOXC,HCPM-GNIS,0101000000E322522E683E5BC072C3EFA65B574340
32,462193,PRDXCOXC,HCPM-GNIS,0101000000064257C7963D5BC0C3F01131252F4340
33,462199,ANTNCOXC,HCPM-GNIS,01010000009C7CC4F9E5CD59C03309CD64EEDE4340
34,462186,ARRBCOXC,HCPM-GNIS,01010000007EACE0B7A1D159C09D723BEA9EA44340
35,462186,KTCRCOXC,HCPM-GNIS,01010000004B43E8FB84B259C02808C3256C614340
36,462186,HSWLCOXC,HCPM-GNIS,01010000005C7171546ECA59C068757286E2394340
37,462186,KARVCOXC,HCPM-GNIS,010100000093E34EE960E259C0A61595C3DD5D4340
38,462209,GRVRCOXC,HCPM-GNIS,01010000003BAA9A206A0E5AC0720FAE25896F4440
39,462186,GENOCOXC,HCPM-GNIS,01010000005DCB1AAB03E059C0F6E51604A0A34340
40,462199,IDALCOXC,HCPM-GNIS,0101000000435953B4CD9259C00BE24DC818DA4340
41,462186,FLGLCOXC,HCPM-GNIS,0101000000202AE8514CC459C05E5B898A82A54340
42,462186,EADSCOXC,HCPM-GNIS,01010000002A5DB00A0AB259C0BD1B0B0A833D4340
43,220377,KITEGAXA,HCPM-GNIS,01010000004AD5D1CCEEA054C0B4249B06A0584040
44,220377,LXSYGAXA,HCPM-GNIS,0101000000672211BF079354C0BDCD76E0F73B4040
45,220377,MIVLGAXA,HCPM-GNIS,010100000038876BB5078F54C063F7787CD6684040
46,220377,OKPKGAXA,HCPM-GNIS,0101000000D7F445E7219454C0DEAA9097DA2D4040
47,220378,DOVRGAXA,HCPM-GNIS,01010000007F942243586854C03E7AC37DE45C4040
48,220377,BARTGAXA,HCPM-GNIS,0101000000DC5328C1519E54C097E8876C7B704040
49,220377,DVBOGAXA,HCPM-GNIS,0101000000605B3FFDE7A654C07172BF43517D4040
50,220378,HLTNGAXA,HCPM-GNIS,0101000000B45549641F6A54C02A1BD65416714040
51,351298,AMANIAXO,HCPM-GNIS,010100000006820019BAF756C0AE88F5A166E64440
52,351328,BDGRIAXO,HCPM-GNIS,01010000004F3BFC35598957C040571124A54E4540
53,351108,BRCYIAXO,HCPM-GNIS,0101000000B16774ACF71D57C0F7EBA93011C14440
54,351328,BRNMIAXO,HCPM-GNIS,0101000000FE3D1D34609757C029E1534A19414540
55,351187,BXTRIAXP,HCPM-GNIS,010100000098F8A3A8B34957C0B71D64A3BDE94440
56,351328,CLARIAXO,HCPM-GNIS,0101000000219F46101D9657C038712832294B4540
57,351297,GRMTIAXO,HCPM-GNIS,0101000000DB06A4B3823457C022403C01030D4540
58,351297,HVHLIAXO,HCPM-GNIS,0101000000DEBFC3FE7C3D57C0A04A7265F5F84440
59,351328,KNRMIAXO,HCPM-GNIS,010100000022FFCC203E9D57C0EFE192E34E3A4540
60,351337,RAKEIAXO,HCPM-GNIS,0101000000492D944CCE7A57C0926D2A9CEEBD4540
61,351297,STRKIAXO,HCPM-GNIS,0101000000565F025C354457C07DD00E1368344540
62,351337,THSNIAXO,HCPM-GNIS,0101000000CFE858EF817157C05586713788AF4540
63,351327,WEBBIAXO,HCPM-GNIS,0101000000E32DFC85C3C057C03A03232F6B794540
64,351105,GLGVIAXO,HCPM-GNIS,010100000055FB743C66C257C09850C1E105824540
65,472215,INVYIDXC,HCPM-GNIS,010100000011757A39C71B5DC0E966DA594F474640
66,472222,ASTNIDXC,HCPM-GNIS,0101000000464BD4C1B0DC5BC02CC36E8E29094640
67,482235,PRSTIDXC,HCPM-GNIS,01010000008914B996FFAD5CC0618500851F4A4740
68,472233,ATLNIDXC,HCPM-GNIS,0101000000987620A11CC85CC07048FEBB99E64540
69,472233,TPNKIDXC,HCPM-GNIS,010100000055D6DB0B71F65CC0AD5BF399A29E4540
70,472215,CNCLIDXC,HCPM-GNIS,010100000000AAB8710B1C5DC0C2E0F5F46C5D4640
71,472215,CPRMIDXC,HCPM-GNIS,0101000000FD0AE3B81D2C5DC0974DCAEE138B4640
72,472233,PRARIDXC,HCPM-GNIS,0101000000FF00101CBCE45CC02BF9D85DA0C04540
73,532390,SOMTIDXC,HCPM-GNIS,01010000006A9F330E1A3B5DC04E23D2DB44604540
74,472222,ISPKIDXC,HCPM-GNIS,0101000000DF13909B86D55BC0E6B4029E0F404640
75,472233,BRVEIDXC,HCPM-GNIS,0101000000B11FBD3CF8D35CC0FFDCE1C0F5BD4540
76,340984,ASLDILXC,HCPM-GNIS,0101000000539CFE47818056C04143A44BA4F14340
77,341047,COLSILXC,HCPM-GNIS,0101000000216F5E41BFCA56C0F7894D7512494440
78,341025,RNHWILXE,HCPM-GNIS,010100000039414063CB2A56C096766A2E37B14240
79,341025,EQLTILXE,HCPM-GNIS,0101000000CE8E54DFF91556C0B4AD669DF1DD4240
80,341047,GDHPILXD,HCPM-GNIS,01010000004020860C1AAB56C03710DC9266474440
81,341047,LTTNILXD,HCPM-GNIS,01010000008D093197D4A756C055771B8AF11D4440
82,341047,RARTILXD,HCPM-GNIS,010100000012239573F3B456C0D9147E5F12594440
83,341025,SMSNILXE,HCPM-GNIS,0101000000DCC3B9E1523056C037A5619DCFBB4240
84,341047,SMTHILXD,HCPM-GNIS,010100000006DF8F36E9B156C0A99B30067B654440
85,341047,SWCKILXD,HCPM-GNIS,01010000009B875D25E9A956C02619390B7B554440
86,341025,LMTNILXE,HCPM-GNIS,0101000000EDF9F59EA51356C0EF4394E5DAD14240
87,341025,EDVLILXE,HCPM-GNIS,0101000000200C3CF79E2556C0E219D93ADDBF4240
88,341025,HCKSILXE,HCPM-GNIS,0101000000CA1F67F5E91B56C0057F092648CA4240
89,341025,CVRKILXE,HCPM-GNIS,01010000007C687AE4EA0A56C0DF1B430070BF4240
90,320775,MRVLINXA,HCPM-GNIS,01010000003F7A1E37576755C06E28C64329FD4340
91,320825,NPLNINXA,HCPM-GNIS,01010000005B272EC72B5555C044087E0A369A4340
92,411818,CHRKKSXA,HCPM-GNIS,0101000000D1D67734C4B357C09B8CCF0946AC4240
93,411818,MCCNKSXA,HCPM-GNIS,010100000092E11D8510C157C0F4E6CB6669AD4240
94,411833,LNTNKSXA,HCPM-GNIS,0101000000DD335C2E2C0558C0BFD0C88C5CB04240
95,411833,ELFLKSXA,HCPM-GNIS,0101000000AF39AC15120C58C0EDFE678302AF4240
96,411833,GRLAKSXA,HCPM-GNIS,01010000001B90CE0AD61C58C09C3EF152A0AC4240
97,411788,GDSPKSXA,HCPM-GNIS,01010000006555849B8C4958C020B3B3E89D8E4240
98,411788,SOHNKSXA,HCPM-GNIS,01010000003733FAD1F05958C0162E50F7A6864240
99,411788,BLCYKSXA,HCPM-GNIS,01010000004708EAEF007858C0B84082E2C7894240
100,411780,RVDLKSXA,HCPM-GNIS,010100000068B114C9D75758C081221631ECB14240
101,411788,MYFDKSXA,HCPM-GNIS,010100000000D4C386DD6258C07421FBC511A14240
102,411780,ARGNKSXA,HCPM-GNIS,010100000012E1BABDFF7058C061C1FD8007A24240
103,411780,NRWCKSXA,HCPM-GNIS,0101000000226A4716557658C00EF450DB86BA4240
104,411788,FRPTKSXA,HCPM-GNIS,010100000020894D1AD97658C01CB62DCA6C994240
105,411780,SWYRKSXA,HCPM-GNIS,0101000000A90C2DFCAAAB58C08DDAB39DA5BF4240
106,411780,ISBLKSXA,HCPM-GNIS,01010000009BFF571D39A358C00B7E1B62BCBB4240
107,411831,SNCYKSXA,HCPM-GNIS,01010000005B559BA49EBA58C09956540E77B04240
108,411831,LKCYKSXA,HCPM-GNIS,01010000004ED76E168AB458C077AD73C23AAD4240
109,411788,HRDTKSXA,HCPM-GNIS,0101000000BB1578DD91A958C04C2E6B07C8814240
110,411831,HZTNKSXA,HCPM-GNIS,010100000036FF54817F9958C087DD770C8F8B4240
111,411780,WLMRKSXA,HCPM-GNIS,01010000002B23E47272CD58C055940156FDAA4240
112,411841,ASLDKSXA,HCPM-GNIS,0101000000C485F2F400F158C0E165E14625984240
113,411841,ENWDKSXA,HCPM-GNIS,0101000000BA281F27F1FE58C08933750DE9844240
114,411826,JNGSKSXA,HCPM-GNIS,0101000000D5117640C81259C01028F62BF8D64340
115,411826,SLDNKSXA,HCPM-GNIS,010100000052F17F47542459C07DFA19283AC54340
116,411826,LENRKSXA,HCPM-GNIS,01010000002085460B2B0059C0751F80D426CE4340
117,411826,RXFRKSXA,HCPM-GNIS,010100000096EB6D33952F59C0343D72B55FBC4340
118,411827,KNRDKSXA,HCPM-GNIS,01010000006E241AEE6D8259C0D1652085A1AA4340
119,411827,MENLKSXA,HCPM-GNIS,010100000027439FD93F2E59C0FF284586B0AD4340
120,411826,MRLDKSXA,HCPM-GNIS,0101000000D9525106D80459C0C48FD6BDBAAC4340
121,411827,GRNLKSXA,HCPM-GNIS,01010000000ECAEA0C422859C0F888981249904340
122,411826,GAFDKSXA,HCPM-GNIS,0101000000DDC6B0D4C41D59C0D19BE50D8B8E4340
123,411826,QNTRKSXA,HCPM-GNIS,0101000000C4E3ECE7DE0E59C0A9D491C8E3884340
124,411826,CLYRKSXA,HCPM-GNIS,0101000000185FB4C78B0759C07678BE558D844340
